1098,671,PEUREULAK TIMUR,3,kecamatan,20,11,1103,110317,1103170000,,0,active,,3/10/2018 10.02.38
1119,671,PEUREULAK BARAT,3,kecamatan,15,11,1103,110318,1103180000,,0,active,,3/10/2018 10.02.42
1135,671,SUNGAI RAYA,3,kecamatan,13,11,1103,110319,1103190000,,0,active,,3/10/2018 10.02.45
1149,671,SIMPANG JERNIH,3,kecamatan,8,11,1103,110320,1103200000,,0,active,,3/10/2018 10.02.48
1158,671,DARUL IHSAN,3,kecamatan,16,11,1103,110321,1103210000,,0,active,,3/10/2018 10.02.50
1175,671,DARUL FALAH,3,kecamatan,11,11,1103,110322,1103220000,,0,active,,3/10/2018 10.02.53
1187,671,IDI TIMUR,3,kecamatan,13,11,1103,110323,1103230000,,0,active,,3/10/2018 10.02.55
1201,671,PEUNARON,3,kecamatan,5,11,1103,110324,1103240000,,0,active,,3/10/2018 10.02.58
1208,1207,LINGE,3,kecamatan,26,11,1104,110401,1104010000,,0,active,,3/10/2018 10.03.00
1233,1207,SILIH NARA,3,kecamatan,33,11,1104,110402,1104020000,,0,active,,3/10/2018 10.03.05
1267,1207,BEBESEN,3,kecamatan,28,11,1104,110403,1104030000,,0,active,,3/10/2018 10.09.23
1295,1207,BIES,3,kecamatan,12,11,1104,110420,1104200000,,0,active,,3/10/2018 10.09.28
1307,1207,RUSIP ANTARA,3,kecamatan,16,11,1104,110421,1104210000,,0,active,,3/10/2018 10.09.30
1322,1207,ATU LINTANG,3,kecamatan,11,11,1104,110418,1104180000,,0,active,,3/10/2018 10.09.33
1332,1207,PEGASING,3,kecamatan,31,11,1104,110407,1104070000,,0,active,,3/10/2018 10.09.35
1362,1207,BINTANG,3,kecamatan,24,11,1104,110408,1104080000,,0,active,,3/10/2018 10.09.40
1386,1207,JAGONG JEGET,3,kecamatan,10,11,1104,110419,1104190000,,0,active,,3/10/2018 10.09.45
1394,1207,KETOL,3,kecamatan,25,11,1104,110410,1104100000,,0,active,,3/10/2018 10.09.46
1420,1207,KEBAYAKAN,3,kecamatan,20,11,1104,110411,1104110000,,0,active,,3/10/2018 10.09.51
1440,1207,KUTE PANANG,3,kecamatan,24,11,1104,110412,1104120000,,0,active,,3/10/2018 10.09.55
1459,1207,CELALA,3,kecamatan,17,11,1104,110413,1104130000,,0,active,,3/10/2018 10.09.58
