1,0,ACEH,1,provinsi,23,11,1100,110000,1100000000,acehprov,23,active,db1,3/10/2018 09.59.07
6728,0,SUMATERA UTARA,1,provinsi,33,12,1200,120000,1200000000,sumutprov,33,active,db2,3/10/2018 10.34.41
12920,0,SUMATERA BARAT,1,provinsi,19,13,1300,130000,1300000000,sumbarprov,19,active,db3,3/10/2018 10.55.30
14086,0,RIAU,1,provinsi,12,14,1400,140000,1400000000,riauprov,12,active,db1,3/10/2018 10.59.07
15885,0,JAMBI,1,provinsi,11,15,1500,150000,1500000000,jambiprov,11,active,db2,3/10/2018 11.04.46
17404,0,SUMATERA SELATAN,1,provinsi,17,16,1600,160000,1600000000,sumselprov,15,active,db2,3/10/2018 11.09.46
20802,0,BENGKULU,1,provinsi,10,17,1700,170000,1700000000,bengkuluprov,10,active,db3,3/10/2018 11.33.58
22328,0,LAMPUNG,1,provinsi,15,18,1800,180000,1800000000,lampungprov,14,active,db2,3/10/2018 11.38.42
24993,0,KEPULAUAN BANGKA BELITUNG,1,provinsi,7,19,1900,190000,1900000000,babelprov,7,active,db3,3/10/2018 11.47.18
25405,0,KEPULAUAN RIAU,1,provinsi,7,21,2100,210000,2100000000,kepriprov,7,active,db3,3/10/2018 11.48.37
25823,0,DKI JAKARTA,1,provinsi,6,31,3100,310000,3100000000,jakartaprov,6,active,db2,3/10/2018 11.50.00
26141,0,JAWA BARAT,1,provinsi,27,32,3200,320000,3200000000,jabarprov,26,active,db7,3/10/2018 11.51.03
32676,0,JAWA TENGAH,1,provinsi,35,33,3300,330000,3300000000,jatengprov,35,active,db3,3/10/2018 12.24.23
41863,0,DAERAH ISTIMEWA YOGYAKARTA,1,provinsi,5,34,3400,340000,3400000000,yogyakartaprov,5,active,db3,3/10/2018 12.53.36
42385,0,JAWA TIMUR,1,provinsi,38,35,3500,350000,3500000000,jatimprov,38,active,db8,3/10/2018 12.55.18
51578,0,BANTEN,1,provinsi,8,36,3600,360000,3600000000,bantenprov,8,active,db6,3/10/2018 13.25.00
53241,0,BALI,1,provinsi,9,51,5100,510000,5100000000,baliprov,9,active,db4,3/10/2018 13.30.27
54020,0,NUSA TENGGARA BARAT,1,provinsi,10,52,5200,520000,5200000000,ntbprov,10,active,db2,3/10/2018 13.33.03
55065,0,NUSA TENGGARA TIMUR,1,provinsi,22,53,5300,530000,5300000000,nttprov,21,active,db1,3/10/2018 13.36.30
58285,0,KALIMANTAN BARAT,1,provinsi,14,61,6100,610000,6100000000,kalbarprov,14,active,db4,3/10/2018 13.46.41
60371,0,KALIMANTAN TENGAH,1,provinsi,14,62,6200,620000,6200000000,kaltengprov,14,active,db3,3/10/2018 13.53.25
61965,0,KALIMANTAN SELATAN,1,provinsi,13,63,6300,630000,6300000000,kalselprov,13,active,db3,3/10/2018 13.58.29
64111,0,KALIMANTAN TIMUR,1,provinsi,10,64,6400,640000,6400000000,kaltimprov,14,active,db2,3/10/2018 14.10.23
65702,0,SULAWESI UTARA,1,provinsi,15,71,7100,710000,7100000000,sulutprov,15,active,db3,3/10/2018 14.15.28
67393,0,SULAWESI TENGAH,1,provinsi,13,72,7200,720000,7200000000,sultengprov,11,active,db3,3/10/2018 14.21.06
69268,0,SULAWESI SELATAN,1,provinsi,24,73,7300,730000,7300000000,sulselprov,24,active,db5,3/10/2018 14.27.21
72551,0,SULAWESI TENGGARA,1,provinsi,17,74,7400,740000,7400000000,sultraprov,12,active,db2,3/10/2018 14.38.27
74716,0,GORONTALO,1,provinsi,6,75,7500,750000,7500000000,gorontaloprov,6,active,db2,3/10/2018 14.45.42
75425,0,SULAWESI BARAT,1,provinsi,6,76,7600,760000,7600000000,sulbarprov,5,active,db2,3/10/2018 14.48.05
76096,0,MALUKU,1,provinsi,11,81,8100,810000,8100000000,malukuprov,11,active,db2,3/10/2018 14.50.20
77085,0,MALUKU UTARA,1,provinsi,10,82,8200,820000,8200000000,malukuutaraprov,9,active,db4,3/10/2018 14.53.33
78203,0,PAPUA,1,provinsi,29,91,9100,910000,9100000000,papuaprov,29,active,db1,3/10/2018 14.57.13
81877,0,PAPUA BARAT,1,provinsi,13,92,9200,920000,9200000000,papuabaratprov,11,active,db3,3/10/2018 15.08.18
928068,0,KALIMANTAN UTARA,1,provinsi,5,65,6500,650000,6500000000,kaltaraprov,14,active,db3,3/10/2018 15.54.45
